Symbol,Sector,Prior,Open,High,Low,Close,Chg.,%Chg.,Avg,Bid,Offer,Volume,Value,Market Cap,P/E*,P/BV*,Book Value,Dividend%,Turnover Ratio,Listed Share,Par,Period,as of,Total Asset,Liabilities, Paid-up , Equity , Revenue ,Net Profit,EPS**,D/E,Net Profit%,ROA%,ROE%,YTP
HMPRO,Services: Commerce,12.6,47.33,47.33,47.33,47.33,47.33,47.33,47.33,47.33,47.33,47.33,47.33,1.30662E+11,47.33,12.3,1.29,0.2,23.28,8217742928,1,Q1/2013,41364,27187100,16565862,7044133,10621231,10025918,691487,0.08,1.56,6.9,15.08,28.53,23.95686687
SE-ED,Services: Media & Publishing,9.7,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,2690164728,16.4,3.28,2.3,4.84,18.2,356313209,1,Q4/2012,41274,2599425,1636649,356313,903224,1325658,29869,0.08,1.81,2.25,8.82,22.16,54.79423483
RS,Services: Media & Publishing,5.85,36.06,36.06,36.06,36.06,36.06,36.06,36.06,36.06,36.06,36.06,36.06,10344394285,36.06,8.09,1.45,2.15,54.57,891758128,1,Q4/2012,41274,2432350,1063400,891758,1364275,722526,68044,0.08,0.78,9.42,20.01,22.74,15.62812298
AAV,Services: Transportation & Logistics,4.84,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,2.07,32495000000,2.07,1.74,3.85,-,97.3,4850000000,0.1,#N/A,#N/A,37131637.48,11666014.66,485000,18678155.85,6124807.04,397283.95,0.08,0.62,6.49,10.21,8.51,29.36442476
CM,Agribusiness,5.05,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,9.06,1577943302,9.06,1.19,3.48,6.76,36.01,381145725,1,Q1/2013,41364,1452264,127741,381146,1324523,322454,25859,0.07,0.1,8.02,15.09,13.82,4.939904869
SABINA,Consumer Products: Fashion,24.2,86.87,86.87,86.87,86.87,86.87,86.87,86.87,86.87,86.87,86.87,86.87,8027250000,86.87,6.15,3.75,0.5,0.2,347500000,1,Q4/2012,41274,2269404.94,840628.78,347500,1428776.16,535328.45,24337.23,0.07,0.59,4.55,8.23,5.74,34.54085695
IFS,Financials: Finance and Securities,2.52,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87,11.87,1400600000,11.87,1.51,1.97,4.03,75.64,470000000,1,Q1/2013,41364,3585271.69,2659737.65,470000,925534.04,94477.42,33458.19,0.07,2.87,35.41,5.08,13.26,79.49436745
ZMICO,Financials: Finance and Securities,1.37,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,1983881729,20.1,1.11,1.75,3.09,254,1022619448,0.5,Q1/2013,41364,2038050,176266,511310,1857299,94433,75609,0.07,0.09,80.07,8.19,9.05,2.331283313
THRE,Financials: Insurance,4.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21953092875,N/A,5.7,1.1,-,53.42,3512494860,1,Q1/2013,41364,32284232.38,28415639.96,3512494.86,3853393.17,1598332.55,260844.28,0.07,7.37,16.32,-8.26,-48.84,108.9371788
HFT,Industrials: Automotive,2.42,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,11.73,1751435238,11.73,1.07,2.49,3.01,157.49,658434300,1,Q1/2013,41364,2061018,424409,658434,1636609,565244,48422,0.07,0.26,8.57,10.06,9.82,8.764796993
