Symbol,Sector,Prior,Open,High,Low,Close,Chg.,%Chg.,Avg,Bid,Offer,Volume,Value,Market Cap,P/E*,P/BV*,Book Value,Dividend%,Turnover Ratio,Listed Share,Par,Period,as of,Total Asset,Liabilities, Paid-up , Equity , Revenue ,Net Profit,EPS**,D/E,Net Profit%,ROA%,ROE%,YTP
RASA,Property & Construction: Property Development,1.59,26.26,26.26,26.26,26.26,26.26,26.26,26.26,26.26,26.26,26.26,26.26,808497649.5,26.26,1.12,1.45,0.69,122.32,549998401,1,Q4/2012,41274,1211265.71,486212.41,499999.99,725053.3,92874.15,7431.86,0.02,0.67,8,4.49,4.34,65.42270845
AQUA,Services: Media & Publishing,0.6,50.68,50.68,50.68,50.68,50.68,50.68,50.68,50.68,50.68,50.68,50.68,1582104190,50.68,1.88,0.47,-,142.82,1797845670,0.5,0,0,1249587.23,288841.49,898922.84,956105.86,125975.87,34538.28,0.02,0.3,27.42,6.44,6.09,8.362937876
SVOA,Technology: Communication Technology,1.15,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,32.41,1937180000,32.41,1.51,1.81,0.69,510.7,707000000,1,Q1/2013,41364,5802229,4089166,947000,1713063,2009238,17233,0.02,2.39,0.86,4.96,4.79,237.2869495
TLUXE,Agribusiness,4.12,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,10.05,1397340935,10.05,1.02,3.15,7.83,7.66,433956812,1,Q1/2013,41364,1834814,467086,433957,1366593,593639,4586,0.01,0.34,0.77,11.68,10.79,101.8504143
DTCI,Consumer Products: Home & Office Products,16.2,12.46,12.46,12.46,12.46,12.46,12.46,12.46,12.46,12.46,12.46,12.46,161000000,12.46,0.6,27.03,3.11,1.16,10000000,10,Q1/2013,41364,331526.01,45370.11,100000,285686.09,56583.02,112.12,0.01,0.16,0.2,3.89,3.31,404.6567071
CIMBT,Financials: Banking,2.5,31.83,31.83,31.83,31.83,31.83,31.83,31.83,31.83,31.83,31.83,31.83,49338614579,31.83,2.36,0.99,0.21,3.84,21084878025,0.5,Q1/2013,41364,208409306,187531897,10542439,20877409,3197152,313057,0.01,8.98,9.79,0.86,8.99,599.0343516
APCS,Industrials: Automotive,4.68,16.93,16.93,16.93,16.93,16.93,16.93,16.93,16.93,16.93,16.93,16.93,1313399924,16.93,1.39,2.87,3.77,65.32,329999981,1,0,0,1578572.57,625155.75,329999.98,945465.94,243818.15,3309.53,0.01,0.66,1.36,6.12,8.34,188.8956287
SPACK,Industrials: Packanging,3.8,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,29.71,930000000,29.71,1.35,2.3,5.48,2.43,300000000,1,Q4/2012,41274,1609375,910637,300000,698738,241951,1630,0.01,1.3,0.67,2.34,-0.52,558.6730061
TGPRO,Industrials: Steel,0.6,35.66,35.66,35.66,35.66,35.66,35.66,35.66,35.66,35.66,35.66,35.66,4440140158,35.66,5.62,0.19,-,467.94,4228704912,0.2,Q1/2013,41364,1518664,694305,845741,824243,366435,33838,0.01,0.84,9.23,8.89,15.63,20.51849991
PRECHA,Property & Construction: Property Development,1.2,51,51,51,51,51,51,51,51,51,51,51,504000000,51,0.8,1.88,3.33,223.33,336000000,1,Q1/2013,41364,877311,245347,336000,631964,60176,4630,0.01,0.39,7.69,3.64,1.57,52.99071274
NCH,Property & Construction: Property Development,1.32,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,19.91,1992454887,19.91,0.89,1.89,2.08,133.36,1185985052,1,Q1/2013,41364,3771696,1523458,1185985,2248238,372419,15277,0.01,0.68,4.1,5.38,6.09,99.72232768
PF,Property & Construction: Property Development,1.05,41.64,41.64,41.64,41.64,41.64,41.64,41.64,41.64,41.64,41.64,41.64,9944897296,41.64,1.14,1.55,1.89,329.99,5682798455,1,Q1/2013,41364,27580420,18785978,5641048,8726309,2468556,83415,0.01,2.15,3.38,3.65,2.96,225.2110292
A,Property & Construction: Property Development,4.18,44.56,44.56,44.56,44.56,44.56,44.56,44.56,44.56,44.56,44.56,44.56,3380680000,44.56,1.35,3.32,0.9,1.19,758000000,1,#N/A,#N/A,7598316,5085193,758000,2513123,267067,4100,0.01,2.02,1.54,2.4,3.06,1240.290976
IRPC,Resources: Energy & Utilities,4.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80920300214,N/A,1.06,3.75,2.02,30.32,20434419246,1,Q1/2013,41364,145897790,69279255,20434419,76550450,71890812,153079,0.01,0.91,0.21,-0.52,-2.28,452.5719073
INET,Technology: Communication Technology,2.48,85.83,85.83,85.83,85.83,85.83,85.83,85.83,85.83,85.83,85.83,85.83,920076540.3,85.83,1.87,1.97,-,487.82,250020799,1,Q1/2013,41364,675474,184128,250021,491346,93921,1764,0.01,0.37,1.88,1.42,2.21,104.3809524
JTS,Technology: Communication Technology,2.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1638980936,N/A,1.28,1.81,4.31,146.49,706457300,1,Q1/2013,41364,2369742,1101410,706457,1275993,109773,5648,0.01,0.86,5.15,-2.96,-11.8,195.0088527
EE,Agribusiness,1.21,56.59,56.59,56.59,56.59,56.59,56.59,56.59,56.59,56.59,56.59,56.59,3697400000,56.59,2.4,0.56,-,122.27,2780000000,1,Q1/2013,41364,1545988.52,2918.98,2780000,1543069.54,9120.46,1539.45,0,0,16.88,4.33,4.33,1.896118744
AMANAH,Financials: Finance and Securities,0.91,29.04,29.04,29.04,29.04,29.04,29.04,29.04,29.04,29.04,29.04,29.04,1016500000,29.04,0.77,1.4,1.87,87.01,950000000,1,0,0,3218057,1889968,950000,1328089,81628,1801,0,1.42,2.21,1.66,2.67,1049.399223
ANAN,Property & Construction: Property Development,3.84,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13865280000,N/A,2.82,1.48,-,58.38,3333000000,0.1,0,0,10283973,5212104,333300,5071869,1050516,4877,0,1.03,0.46,0.97,0.38,1068.711093
SGP,Resources: Energy & Utilities,13.8,153.24,153.24,153.24,153.24,153.24,153.24,153.24,153.24,153.24,153.24,153.24,10751498550,153.24,1.52,7.68,3.42,23.23,918931500,1,Q4/2012,41274,26610070,19526958,918932,7055877,14109625,493,0,2.77,0,2.26,0.97,39608.43408
LIVE,Services: Media & Publishing,0.5,68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7,2559260853,68.7,11.48,0.08,-,322.72,3323715394,0.1,Q1/2013,41364,337297,120481,291373,222885,74533,10529,0,0.54,14.13,15,28.57,11.44277709
MPIC,Services: Media & Publishing,1.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1680075000,N/A,5.06,0.52,-,61.88,641250000,1,Q1/2013,41364,1301000,969046,641250,331944,242669,1132,0,2.92,0.47,-20.41,-63.37,856.0477032
TH,Services: Media & Publishing,5.4,140.73,140.73,140.73,140.73,140.73,140.73,140.73,140.73,140.73,140.73,140.73,1573800000,140.73,3.93,1.08,-,209.9,610000000,1,Q1/2013,41364,656597,15066,610000,641531,11470,30,0,0.02,0.26,3.29,2.56,502.2
GRAND,Services: Tourism & Leisure,1.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4402346667,N/A,1.8,0.89,-,121.48,2751466667,1,Q1/2013,41364,7224651,4777557,2751467,2447094,332715,3196,0,1.95,0.96,-2.96,-13.27,1494.855131
WIN,Services: Transportation & Logistics,0.8,18.38,18.38,18.38,18.38,18.38,18.38,18.38,18.38,18.38,18.38,18.38,539531894,18.38,3.23,0.34,-,321.64,490483540,1,Q1/2013,41364,396838,229848,490484,166990,12560,1036,0,1.38,8.25,9.87,19.29,221.8610039
IEC,Technology: Communication Technology,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2761172706,N/A,85.52,-,-,199.4,69029317660,0.1,Q1/2013,41364,1524701,1253260,6902932,77892,190142,-45159,0,16.09,-23.75,-13.89,-368.07,-27.75216457
TWZ,Technology: Communication Technology,0.41,230.11,230.11,230.11,230.11,230.11,230.11,230.11,230.11,230.11,230.11,230.11,1248000003,230.11,1.72,0.3,-,385.16,2400000005,0.1,Q1/2013,41364,2307779.94,1577849.07,240000,729930.87,906129.82,5886.04,0,2.16,0.65,4.92,0.87,268.0663179
GJS,Industrials: Steel,0.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12702453860,N/A,1.25,0.26,-,91.24,1.05854E+11,0.69,Q1/2013,41364,22406517,7409265,73039110,14997252,270080,-483720,-0.01,0.49,-179.1,-7.61,-16.17,-15.31725999
EVER,Property & Construction: Property Development,0.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,511978241.7,N/A,4.26,0.68,-,643.9,616841255,1,Q1/2013,41364,620699,200502,616841,420197,-,-9068,-0.01,0.48,N/A,-3.94,-9.69,-22.11093957
SIRI,Property & Construction: Property Development,3.52,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,37131742539,14.33,2.36,1.88,3.83,162.84,9100917289,1.07,Q4/2012,41274,50417066,34661207,8971352,15755037,5214853,-86473,-0.01,2.2,-1.66,8.44,18.78,-400.8327108
KC,Property & Construction: Property Development,1.02,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2,962500000,24.2,0.69,1.58,1.82,97.58,875000000,1,Q1/2013,41364,2535551,1149886,875000,1385665,78534,-5416,-0.01,0.83,-6.9,3.04,2.92,-212.312777
BTC,Services: Transportation & Logistics,0.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,930897828.7,N/A,2.84,0.5,-,1760.35,660211226,1,Q1/2013,41364,425997,98651,660211,327346,18532,-7915,-0.01,0.3,-42.71,-5.45,-7,-12.46380291
BLISS,Technology: Communication Technology,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,152100000,N/A,8.46,-,-,-,19000000000,0.1,Q1/2013,41364,86663.58,68677.13,380253.15,17986.45,373227.41,-50404.12,-0.01,3.82,-13.5,-29.16,-116.74,-1.362530087
CPI,Agribusiness,6.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1491110986,N/A,1.02,2.62,1.13,27.46,560568040,1,Q1/2013,41364,2920853,1454127,560568,1466726,932057,-13007,-0.02,0.99,-1.4,-0.98,-4.29,-111.7957254
NEP,Industrials: Packanging,1.06,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,2140546201,6.38,2.3,0.64,-,684.06,1446315001,1,Q1/2013,41364,1005052,76276,1446315,928776,60439,-22430,-0.02,0.08,-37.11,38.4,44.74,-3.400624164
METRO,Property & Construction: Property Development,2.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1708854000,N/A,1.73,2.11,-,198.42,466900000,1,Q1/2013,41364,1904491.98,919370.4,466900,985121.58,54509.02,-7717.9,-0.02,0.93,-14.16,-0.64,-5.27,-119.1218337
BMCL,Services: Transportation & Logistics,0.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17208000000,N/A,19.22,0.07,-,127.97,11950000000,1,Q1/2013,41364,18295289,17592128,11950000,635542,600849,-271127,-0.02,27.68,-45.12,1.27,-86.21,-64.88519402
EIC,Technology: Electronic Components,1.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,708000000,N/A,1.2,1.47,-,1.05,400000000,1,Q1/2013,41364,622824.01,34210.34,400000,588613.67,37581.76,-5689.15,-0.02,0.06,-15.14,-0.46,-0.28,-6.013260329
TEAM,Technology: Electronic Components,1.73,136.67,136.67,136.67,136.67,136.67,136.67,136.67,136.67,136.67,136.67,136.67,1006560148,136.67,1.31,1.2,3.16,21.42,637063385,1,Q1/2013,41364,1118295,350647,637063,767648,323223,-14721,-0.02,0.46,-4.55,0.7,0.99,-23.81950954
DRACO,Technology: Electronic Components,3.32,92.78,92.78,92.78,92.78,92.78,92.78,92.78,92.78,92.78,92.78,92.78,738138600,92.78,0.64,5.37,2.92,5.59,215830000,1,Q1/2013,41364,1411058,252713,215830,1158345,193845,-5124,-0.02,0.22,-2.64,0.64,0.68,-49.31947697
APURE,Food and Beverage,2.02,179.4,179.4,179.4,179.4,179.4,179.4,179.4,179.4,179.4,179.4,179.4,1325049260,179.4,2.36,0.87,-,896.43,649533951,0.7,0,0,999265,421864,454674,561892,269006,-19603,-0.03,0.75,-7.29,3.38,1.57,-21.52037953
SSI,Industrials: Steel,0.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15910174946,N/A,1.3,0.45,-,45.93,27431336113,1,Q4/2012,41274,80125413,67086890,27431336,12208331,20534478,-778016,-0.03,5.5,-3.79,-12.73,-84.42,-86.2281624
MJD,Property & Construction: Property Development,2.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1695807500,N/A,0.81,2.98,-,58.5,718562500,1,Q1/2013,41364,12691113,10471248,704381,2210251,650425,-19369,-0.03,4.74,-2.98,1.09,-2.87,-540.6189272
PLE,Property & Construction: Property Development,1.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3169243549,N/A,1.8,2.17,1.92,287.58,812626551,1,Q1/2013,41364,8982685,7220637,812627,1749030,1783533,-24709,-0.03,4.13,-1.39,3.8,9.96,-292.2270023
UV,Property & Construction: Property Development,11.7,229.68,229.68,229.68,229.68,229.68,229.68,229.68,229.68,229.68,229.68,229.68,24663852327,229.68,3.51,3.67,0.17,135.57,1911926537,1,Q1/2013,41364,21448662,11561947,1911927,7017183,893328,-72076,-0.04,1.65,-8.07,2.9,2.42,-160.4132721
TCC,Resources: Energy & Utilities,2.48,230.31,230.31,230.31,230.31,230.31,230.31,230.31,230.31,230.31,230.31,230.31,2047212970,230.31,2.59,0.84,-,157.03,1183360098,0.5,Q1/2013,41364,884572,44965,544958,839607,215235,-39378,-0.04,0.05,-18.3,-6.83,-6.63,-1.141881253
RPC,Resources: Energy & Utilities,1.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,895480687,N/A,1.07,1.59,55.62,219.47,529870229,1,Q4/2012,41274,2628974,1780421,529870,840085,904574,-20485,-0.04,2.12,-2.26,-4.51,-12.2,-86.91340005
MME,Services: Tourism & Leisure,0.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,780000000,N/A,3.72,1.17,-,214.14,250000000,1,Q1/2013,41364,318178,25640,250000,293447,17047,-9065,-0.04,0.09,-53.18,-44.25,-46.26,-2.828461114
JUTHA,Services: Transportation & Logistics,3.74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,372187000,N/A,0.6,7.4,-,206.36,83450000,3,Q1/2013,41364,2617408,1864287,258000,636496,410187,-2945,-0.04,2.93,-0.72,1.88,-0.46,-633.034635
UT,Consumer Products: Fashion,13.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,558000000,N/A,0.89,13.9,-,0.79,45000000,10,Q1/2013,41364,1060982,226919,600000,834063,234128,2903,-0.05,0.27,1.24,-11.69,-15.59,78.16706855
PRANDA,Consumer Products: Fashion,8.45,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,3375335718,7.51,1.21,6.84,7.22,30.32,406666954,1,Q1/2013,41364,4564450,1793170,406667,2861496,983686,-20456,-0.05,0.63,-2.08,7.01,10.42,-87.6598553
CFRESH,Food and Beverage,10,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,6.96,3696856200,6.96,2.07,3.96,8.63,48.36,456402000,1,Q1/2013,41364,2930712,1057381,455820,1790244,1363056,-22170,-0.05,0.59,-1.63,19.31,27.52,-47.69422643
TFI,Industrials: Packanging,2.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2211300000,N/A,2.58,0.63,-,19.27,1365000000,1,Q1/2013,41364,3193794,2335459,1365000,858335,967599,-66821,-0.05,2.72,-6.91,-1.25,-13,-34.9509735
KWH,Property & Construction: Construction Materials,1.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,755843760,N/A,1.79,1.41,-,256.89,299938000,1,Q1/2013,41364,892073,466825,299938,422697,114205,-16903,-0.06,1.1,-14.8,0.36,-3.92,-27.61787848
IT,Services: Commerce,5,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,1355667573,43.75,1.32,2.93,5.41,50.32,349398859,1,Q1/2013,41364,1632244,608536,349399,1023708,1362782,-19939,-0.06,0.59,-1.46,2.47,2.97,-30.51988565
FANCY,Consumer Products: Home & Office Products,1.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,855400000,N/A,0.68,2.68,-,52.71,470000000,1,Q1/2013,41364,1258515,33246,470000,1225269,48180,-34458,-0.07,0.03,-71.52,-7.09,-7.26,-0.964826746
GOLD,Property & Construction: Property Development,9.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14515525466,N/A,2.41,5.3,-,50.53,1219792056,10,Q1/2013,41364,11620196,5829636,11348081,6016346,386079,-76080,-0.07,0.97,-19.71,-2.45,-8.44,-76.62507886
KTP,Property & Construction: Property Development,1.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,415800000,N/A,2.64,0.72,-,326.87,220000000,10,Q1/2013,41364,1321412,1212927,2200000,142056,54659,-15309,-0.07,8.54,-28.01,-4.19,-48.81,-79.22966882
RICH,Industrials: Steel,0.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,631835332.4,N/A,0.78,0.81,-,277.3,1002913226,1,Q4/2012,41274,4340204,3426873,1002913,589758,877564,-84359,-0.08,5.81,-9.61,-2.37,-41.98,-40.62249434
TYM,Industrials: Steel,3.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1280000000,N/A,1.19,2.68,1.56,51.56,400000000,1,Q1/2013,41364,5474624,4489424,400000,1072193,3235001,-30949,-0.08,4.19,-0.96,-2.05,-4.72,-145.0587741
T RUE,Technology: Communication Technology,5.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.41535E+11,N/A,11.55,0.84,-,117.85,14516360122,10,Q1/2013,41364,181335288.5,168426724,145051521.5,12251044.22,24172992.32,-1109133.88,-0.08,13.75,-4.59,0.14,-49.63,-151.8542775
TC,Food and Beverage,3.88,27.29,27.29,27.29,27.29,27.29,27.29,27.29,27.29,27.29,27.29,27.29,1141800000,27.29,0.68,5.08,2.89,8.86,330000000,1,Q1/2013,41364,2869018,1192729,330000,1676289,1190505,-28389,-0.09,0.71,-2.38,2.46,2.51,-42.01377294
VNG,Property & Construction: Construction Materials,4.46,55.67,55.67,55.67,55.67,55.67,55.67,55.67,55.67,55.67,55.67,55.67,4936071900,55.67,0.79,4.77,2.38,10.18,1305839127,1,Q1/2013,41364,14517569,8282467,1305839,6235102,2035514,-116937,-0.09,1.33,-5.74,2.51,1.42,-70.82845464
MATI,Services: Media & Publishing,6.8,14.24,14.24,14.24,14.24,14.24,14.24,14.24,14.24,14.24,14.24,14.24,1482793600,14.24,0.92,8.66,4.38,88.93,185349200,1,Q1/2013,41364,2139503,464584,185349,1674919,327047,-16848,-0.09,0.28,-5.15,4.48,3.29,-27.57502374
AFC,Consumer Products: Fashion,8,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31,22.31,360036701.4,22.31,0.37,21.57,-,2.8,45574266,10,#N/A,#N/A,1080211,97063,455743,983148,303416,-4465,-0.1,0.1,-1.47,1.5,1.66,-21.73863382
SST,Services: Transportation & Logistics,13.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3417458386,N/A,2.79,6.77,0.12,80.79,180817904,1,Q4/2012,41274,4447242,2915118,180818,1529473,535339,-23719,-0.1,1.91,-4.43,-0.17,-9.3,-122.9022303
TRS,Agribusiness,0.54,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,10928795.4,6.92,N/A,-1.87,-,-,120238510,0.5,Q1/2013,41364,474139,698654,60119,-224515,230320,-13363,-0.11,N/A,-5.8,4.67,N/A,-52.28272095
ASIAN,Agribusiness,3.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1266371638,N/A,0.62,5.68,-,4.43,361820468,1,Q1/2013,41364,6855004,4799580,361820,2055424,2639681,-51186,-0.14,2.34,-1.94,2.5,-2.01,-93.76743641
SAWANG,Consumer Products: Fashion,9.8,34.92,34.92,34.92,34.92,34.92,34.92,34.92,34.92,34.92,34.92,34.92,259200000,34.92,0.48,22.64,2.31,1.05,24000000,10,Q4/2012,41274,613507.86,70167.72,240000,543340.14,33590.79,-3268.91,-0.14,0.13,-9.73,1.21,1.36,-21.46517341
SSF,Food and Beverage,13.9,9.04,9.04,9.04,9.04,9.04,9.04,9.04,9.04,9.04,9.04,9.04,2672990100,9.04,1.51,6.56,5.25,6.16,269999000,1,Q4/2012,41274,3122976,1136074,269999,1680071,1445159,-41533,-0.16,0.68,-2.87,11.45,10,-27.35352611
SSC,Food and Beverage,196,279.67,279.67,279.67,279.67,279.67,279.67,279.67,279.67,279.67,279.67,279.67,46532584700,279.67,5.38,32.55,1.43,0.53,265900484,1,Q4/2012,41274,12889075,4234144,265900,8654931,3238813,-72730,-0.27,0.49,-2.25,1.36,1.87,-58.21729685
BAT-3K,Industrials: Automotive,64.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1385000000,N/A,0.93,74.52,2.89,2.65,20000000,10,Q1/2013,41364,4295912,2771010,200000,1490400,1409641,-6509,-0.33,1.86,-0.46,-2.02,-10.87,-425.7197726
TTA,Services: Transportation & Logistics,16.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17742590336,N/A,0.89,28.31,-,97.27,991206164,1,Q1/2013,41364,45550132,17025514,991206,23312201,3828291,-257140,-0.33,0.73,-6.72,-7.56,-17.85,-66.2110679
RCL,Services: Transportation & Logistics,7.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5511187500,N/A,0.54,12.25,-,11.09,828750000,1,Q4/2012,41274,20343549,10170367,828750,10154475,3063293,-358834,-0.43,1,-11.71,-6.75,-16.1,-28.34281868
TSTH,Industrials: Steel,1.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8168767623,N/A,0.94,1.07,-,20.86,8168767623,1,Q1/2013,41364,18101044.52,9129295.84,8421540.85,8983052.78,6503821.11,-3556198.74,-0.44,1.02,-54.68,-18.75,-40.38,-2.567150069
OGC,Consumer Products: Home & Office Products,39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1173189325,N/A,0.8,68.5,-,90.68,21330715,10,Q1/2013,41364,3225436,1764283,213307,1461153,449861,-13683,-0.64,1.21,-3.04,-1.12,-5.69,-128.9397793
CPH,Consumer Products: Fashion,8.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,252000000,N/A,0.32,19.61,-,18.2,40000000,10,Q1/2013,41364,1258487.43,473958.44,400000,784416.38,225533.82,-27249.81,-0.68,0.6,-12.08,-2.87,-6.35,-17.39309155
ROCK,Consumer Products: Home & Office Products,32.25,66.35,66.35,66.35,66.35,66.35,66.35,66.35,66.35,66.35,66.35,66.35,510000000,66.35,1.76,28.93,0.98,28.43,10000000,10,Q4/2012,41274,758022,468740,100000,289282,145216,-6884,-0.69,1.62,-4.74,2.45,2.71,-68.09122603
TTI,Consumer Products: Fashion,23.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1080000000,N/A,0.63,34.25,2.31,0.24,50000000,10,Q1/2013,41364,3697167.78,1908791.32,500000,1683682.91,966733.98,-36243.73,-0.72,1.13,-3.75,-1.44,-6.37,-52.66542158
TT&T,Technology: Communication Technology,0.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,421522953.9,N/A,N/A,-2.32,-,-,6782646457,1,Q1/2013,41364,4995740.15,20718618.52,6782646.46,-15722878.37,2587589.34,-7655008.73,-1.13,N/A,-295.84,-79.24,N/A,-2.706544075
SFP,Food and Beverage,234,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,100.47,5208000000,100.47,2.25,110.24,3.23,0.6,21000000,10,Q4/2012,41274,2941779,621847,210000,2319932,560739,-24540,-1.17,0.27,-4.38,-0.73,-3.48,-25.34013855
PPC,Agribusiness,52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1641748955,N/A,1.02,48.55,-,21.29,32999979,10,Q1/2013,41364,3453975,1851695,330000,1602280,1030785,-79124,-2.53,1.16,-7.68,-4.39,-12.27,-23.40244426
METCO,Technology: Electronic Components,182,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3406390300,N/A,0.66,248.18,1.84,1.22,20898100,10,Q1/2013,41364,6947131,1760619,208981,5186512,2354744,-435549,-20.84,0.34,-18.5,-10.39,-14.14,-4.042298341
